t,alpha,beta_CO₂,beta_Gas,beta_Coal
0,133.3437845212336,-4.131112507048615,7.410837627933147,3.022962304240427
1,128.86229264541376,-34.86154711243275,5.400567745735428,4.169029404677579
2,129.17585807696346,-92.33444853916586,-0.6691126308267237,12.687433474832254
3,124.97333588847572,-162.76366858738822,-0.3261497574497221,13.396739465270526
4,123.79902997960691,-193.42565231485244,6.530285083843682,8.261477791248378
5,146.0013691572543,-135.342077809235,8.448174478999864,7.996282112862492
6,177.90443077787876,-14.349264533888412,2.8652754696355247,4.995908658143435
7,178.81080927577565,80.80082368548143,-0.19410468245596763,-11.235762611179542
8,145.39781589150326,95.73687132169746,2.9072919538808124,-25.11287463044071
9,120.07602350519129,59.209583965416954,4.665695374567653,-16.09528440109963
10,124.82544279198301,25.451914078895477,2.878910567563455,4.125581441808338
11,135.7225315670583,9.905193363795071,3.9293049126326434,9.749485069300736
