t,alpha,beta_CO₂,beta_Gas,beta_Coal
0,117.71567086940388,2.8435764145144393,0.777046824837022,0.0925694819818279
1,121.56637880168799,2.548861980117476,0.9125583976255436,0.10368341468535539
2,128.70848389364198,0.7130241563731404,1.1827057296166588,0.09518114432018614
3,136.229851370965,-2.766187694392175,1.428904995052451,0.14428026024294674
4,141.26412442286608,-7.675193712135517,1.4535659901211244,0.32246227137692
5,142.0613194874423,-13.431377001766798,1.1077437665727166,0.6611009696587692
6,138.58555489420274,-19.14812937930595,0.37239146673243445,1.1335996794576186
7,132.4151566954409,-23.832253326406885,-0.6063401927742417,1.6630933576193134
8,126.00711195619286,-26.664307398967072,-1.5508980850487641,2.1517108427002123
9,121.64726501972287,-27.260944372015715,-2.148988685052863,2.51638759604137
10,120.52991794535089,-25.80803419835179,-2.1773585702778004,2.713265663978978
11,122.34447520490758,-22.995469399661683,-1.6012087912937185,2.7395156353243335
12,125.52271575940794,-19.764378648149993,-0.6042199557943331,2.61435333200418
13,128.01643293135285,-16.96001688756418,0.46864369739058376,2.35301239590404
14,128.25428879504986,-15.02964690997873,1.2366475571781044,1.951674612855006
15,125.86196998374055,-13.890141970728344,1.428044089326205,1.395083132849305
16,121.84450661250303,-13.01853093171189,0.9851336268583629,0.684731926665954
17,118.16894204937118,-11.721386864142413,0.08607488985794584,-0.12848475138717824
18,116.94232378276914,-9.460370723093806,-0.9257664779722021,-0.9294336241070518
19,119.54355298371414,-6.08830884052702,-1.6757014849180305,-1.5579138831660142
20,126.07216978021565,-1.8942326283204962,-1.8998032040239201,-1.861655721519654
21,135.32841660001768,2.5534348678841945,-1.5380740145461929,-1.7639329335046767
22,145.3081845377781,6.681590260217273,-0.7436556469861,-1.3147344324406416
23,153.98592416672597,10.167239123644176,0.19090291971723353,-0.6968522832618123
24,160.05528647626076,13.04719155467967,0.9553263214816646,-0.17537320960977942
25,163.33643229966015,15.630495381779507,1.3388886959628095,-0.004029519281666724
26,164.71299456124947,18.259650337167304,1.2967685668853621,-0.32335511951572227
27,165.65733941597105,21.04270624128988,0.9440196647167359,-1.0930979518302553
28,167.55681704990718,23.695412982656716,0.4877402396433966,-2.090296273496085
29,171.10937602566267,25.58205772125837,0.13257554674147762,-2.978690324924944
30,176.00480006016758,25.949284723078716,0.0016892739282262776,-3.425540898952926
31,180.98329812016286,24.253817231046018,0.10341624792377493,-3.2214546626260776
32,184.22461149521502,20.43691626716101,0.3502316808429887,-2.3566865672897106
33,183.92097504696324,15.018413125169996,0.6132933339100041,-1.0247546268689511
34,178.85232154063385,8.961869762481381,0.7831551138348434,0.44643223342966926
35,168.80680226046334,3.363118272795261,0.8096945414806129,1.7071024461746505
36,154.74841449922522,-0.9092769029770656,0.7086064290981899,2.4972637421437875
37,138.6985603986308,-3.475293676770017,0.5394808782003817,2.7162912555318734
38,123.35411866565674,-4.50702104914022,0.3724485839226458,2.4293167207969573
39,111.5104003252084,-4.5830006366385625,0.26161836672095584,1.8163216276922964
40,105.39889187779579,-4.409420315688524,0.2351938483996708,1.091774484994628
41,106.08651276393267,-4.53256097984326,0.30030444820788726,0.4304566190106132
42,113.10162719143945,-5.157401921117646,0.452466330509012,-0.07320105058782649
43,124.43013605964416,-6.129288316933687,0.6795169531869267,-0.40392633602309447
44,136.94679522629562,-7.059945124877331,0.9569846854621078,-0.5940075915969519
45,147.21928990065038,-7.522101117662495,1.2409076109302823,-0.6840926814508728
46,152.4820139947699,-7.222332979142015,1.4687259853024912,-0.6978054030096974
47,151.47967447072375,-6.090316532985244,1.5754350870123057,-0.6397970379595063
48,144.8806871741166,-4.274095505503267,1.5221655766810052,-0.5118862546174464
49,135.07790187431073,-2.075866125763966,1.3236654127579428,-0.33198694967584935
50,125.40117333669585,0.12123397149300945,1.0568560658848352,-0.14043906248666874
51,118.98922214173776,1.9018019001789483,0.8387715824073045,0.012606158701794672
