datetime,mean,std,min,max
2022-01-31 00:00:00+00:00,143.99,47.67,73.66,251.7
2022-02-28 00:00:00+00:00,116.81,23.69,83.59,180.74
2022-03-31 00:00:00+00:00,141.33,24.19,85.91,189.31
2022-04-30 00:00:00+00:00,124.27,29.53,61.08,186.83
2022-05-31 00:00:00+00:00,140.64,26.34,101.86,189.63
2022-06-30 00:00:00+00:00,185.27,41.81,117.4,283.86
2022-07-31 00:00:00+00:00,220.08,61.03,102.34,331.52
2022-08-31 00:00:00+00:00,268.88,77.45,147.08,388.42
2022-09-30 00:00:00+00:00,175.5,43.08,103.16,313.24
2022-10-31 00:00:00+00:00,134.12,24.41,78.45,197.1
2022-11-30 00:00:00+00:00,170.95,39.92,102.29,246.0
2022-12-31 00:00:00+00:00,173.55,53.39,62.49,240.09
2023-01-31 00:00:00+00:00,132.59,34.25,48.3,186.46
2023-02-28 00:00:00+00:00,136.85,22.43,95.74,179.52
2023-03-31 00:00:00+00:00,120.43,18.06,75.27,156.93
2023-04-30 00:00:00+00:00,122.03,16.62,73.41,146.34
2023-05-31 00:00:00+00:00,105.67,18.57,63.21,136.98
2023-06-30 00:00:00+00:00,118.3,29.59,48.66,169.42
2023-07-31 00:00:00+00:00,115.73,23.94,43.54,141.2
2023-08-31 00:00:00+00:00,107.06,24.52,44.71,144.95
2023-09-30 00:00:00+00:00,109.83,11.16,86.06,131.15
2023-10-31 00:00:00+00:00,95.38,31.73,24.27,134.25
2023-11-30 00:00:00+00:00,98.43,25.37,46.93,151.58
2023-12-31 00:00:00+00:00,80.08,39.62,1.18,144.35
2024-01-31 00:00:00+00:00,93.48,16.28,69.34,123.43
2024-02-29 00:00:00+00:00,75.97,13.31,33.89,103.34
2024-03-31 00:00:00+00:00,75.36,13.59,38.79,96.69
2024-04-30 00:00:00+00:00,80.88,19.77,25.5,106.96
2024-05-31 00:00:00+00:00,85.63,19.08,36.18,109.01
2024-06-30 00:00:00+00:00,102.94,18.92,61.96,124.75
