datetime,mean,std,min,max
2022-03-31 00:00:00+00:00,134.62,35.77,73.66,251.7
2022-06-30 00:00:00+00:00,149.96,41.73,61.08,283.86
2022-09-30 00:00:00+00:00,221.99,72.52,102.34,388.42
2022-12-31 00:00:00+00:00,159.42,44.43,62.49,246.0
2023-03-31 00:00:00+00:00,129.73,26.59,48.3,186.46
2023-06-30 00:00:00+00:00,115.23,23.15,48.66,169.42
2023-09-30 00:00:00+00:00,110.88,20.98,43.54,144.95
2023-12-31 00:00:00+00:00,91.22,33.47,1.18,151.58
2024-03-31 00:00:00+00:00,81.73,16.65,33.89,123.43
2024-06-30 00:00:00+00:00,86.52,20.55,25.5,124.75
