date,industrial_index,year,month
2022-01-03,56800.0,2022,1
2022-01-04,69550.0,2022,1
2022-01-05,72700.0,2022,1
2022-01-06,550.0,2022,1
2022-01-07,35259.0,2022,1
2022-01-10,85775.0,2022,1
2022-01-11,106450.0,2022,1
2022-01-12,113950.0,2022,1
2022-01-13,104600.0,2022,1
2022-01-14,99600.0,2022,1
2022-01-17,102375.0,2022,1
2022-01-18,113200.0,2022,1
2022-01-19,113100.0,2022,1
2022-01-20,111900.0,2022,1
2022-01-21,116450.0,2022,1
2022-01-24,111300.0,2022,1
2022-01-25,115400.0,2022,1
2022-01-26,112650.0,2022,1
2022-01-27,106850.0,2022,1
2022-01-28,113550.0,2022,1
2022-01-31,96578.0,2022,1
2022-02-01,109784.5,2022,2
2022-02-02,95984.5,2022,2
2022-02-03,96134.5,2022,2
2022-02-04,97235.5,2022,2
2022-02-07,89632.0,2022,2
2022-02-08,93292.5,2022,2
2022-02-09,88842.5,2022,2
2022-02-10,86234.5,2022,2
2022-02-11,94484.5,2022,2
2022-02-14,50886.0,2022,2
2022-02-15,80492.5,2022,2
2022-02-16,72692.5,2022,2
2022-02-17,79442.5,2022,2
2022-02-18,75184.5,2022,2
2022-02-21,52903.0,2022,2
2022-02-22,78442.5,2022,2
2022-02-23,87592.5,2022,2
2022-02-24,79434.5,2022,2
2022-02-25,86034.5,2022,2
2022-02-28,70774.0,2022,2
2022-03-01,91250.0,2022,3
2022-03-02,93500.0,2022,3
2022-03-03,93600.0,2022,3
2022-03-04,94300.0,2022,3
2022-03-07,94800.0,2022,3
2022-03-08,105300.0,2022,3
2022-03-09,99950.0,2022,3
2022-03-10,101200.0,2022,3
2022-03-11,98300.0,2022,3
2022-03-14,75700.0,2022,3
2022-03-15,88000.0,2022,3
2022-03-16,85285.0,2022,3
2022-03-17,77050.0,2022,3
2022-03-18,72250.0,2022,3
2022-03-21,65050.0,2022,3
2022-03-22,68950.0,2022,3
2022-03-23,62100.0,2022,3
2022-03-24,64050.0,2022,3
2022-03-25,63100.0,2022,3
2022-03-28,56150.0,2022,3
2022-03-29,69650.0,2022,3
2022-03-30,73800.0,2022,3
2022-03-31,81500.0,2022,3
2022-04-01,104478.0,2022,4
2022-04-04,96028.0,2022,4
2022-04-05,109228.0,2022,4
2022-04-06,108404.0,2022,4
2022-04-07,76279.0,2022,4
2022-04-08,98528.0,2022,4
2022-04-11,96828.0,2022,4
2022-04-12,92578.0,2022,4
2022-04-13,78478.0,2022,4
2022-04-14,82778.0,2022,4
2022-04-15,75428.0,2022,4
2022-04-18,0.0,2022,4
2022-04-19,73578.0,2022,4
2022-04-20,99078.0,2022,4
2022-04-21,91278.0,2022,4
2022-04-22,92047.0,2022,4
2022-04-25,89078.0,2022,4
2022-04-26,88728.0,2022,4
2022-04-27,85378.0,2022,4
2022-04-28,83928.0,2022,4
2022-04-29,76778.0,2022,4
2022-05-02,30436.0,2022,5
2022-05-03,492.0,2022,5
2022-05-04,93442.0,2022,5
2022-05-05,106792.0,2022,5
2022-05-06,104392.0,2022,5
2022-05-09,84892.0,2022,5
2022-05-10,89292.0,2022,5
2022-05-11,88792.0,2022,5
2022-05-12,98642.0,2022,5
2022-05-13,98292.0,2022,5
2022-05-16,83042.0,2022,5
2022-05-17,95842.0,2022,5
2022-05-18,90692.0,2022,5
2022-05-19,94292.0,2022,5
2022-05-20,104192.0,2022,5
2022-05-23,84392.0,2022,5
2022-05-24,94892.0,2022,5
2022-05-25,96893.0,2022,5
2022-05-26,91392.0,2022,5
2022-05-27,96343.0,2022,5
2022-05-30,89142.0,2022,5
2022-05-31,97742.0,2022,5
2022-06-01,86121.0,2022,6
2022-06-02,68970.0,2022,6
2022-06-03,80326.0,2022,6
2022-06-06,74101.0,2022,6
2022-06-07,83826.0,2022,6
2022-06-08,84226.0,2022,6
2022-06-09,86375.0,2022,6
2022-06-10,83825.0,2022,6
2022-06-13,80451.0,2022,6
2022-06-14,77876.0,2022,6
2022-06-15,73275.0,2022,6
2022-06-16,1450.0,2022,6
2022-06-17,24875.0,2022,6
2022-06-20,81426.0,2022,6
2022-06-21,82476.0,2022,6
2022-06-22,81176.0,2022,6
2022-06-23,92626.0,2022,6
2022-06-24,86025.0,2022,6
2022-06-27,88875.0,2022,6
2022-06-28,114675.0,2022,6
2022-06-29,111875.0,2022,6
2022-06-30,114125.0,2022,6
2022-07-01,105338.5,2022,7
2022-07-04,87063.5,2022,7
2022-07-05,92888.5,2022,7
2022-07-06,87738.5,2022,7
2022-07-07,84988.5,2022,7
2022-07-08,77788.5,2022,7
2022-07-11,72988.5,2022,7
2022-07-12,77488.5,2022,7
2022-07-13,91938.5,2022,7
2022-07-14,81838.5,2022,7
2022-07-15,75138.5,2022,7
2022-07-18,74788.5,2022,7
2022-07-19,103938.5,2022,7
2022-07-20,105238.5,2022,7
2022-07-21,96838.5,2022,7
2022-07-22,94788.5,2022,7
2022-07-25,74855.5,2022,7
2022-07-26,70953.5,2022,7
2022-07-27,75490.5,2022,7
2022-07-28,68376.5,2022,7
2022-07-29,60857.5,2022,7
2022-08-01,59617.0,2022,8
2022-08-02,66057.0,2022,8
2022-08-03,73875.0,2022,8
2022-08-04,82529.0,2022,8
2022-08-05,83025.0,2022,8
2022-08-08,54398.0,2022,8
2022-08-09,66627.0,2022,8
2022-08-10,65129.0,2022,8
2022-08-11,66875.0,2022,8
2022-08-12,70375.0,2022,8
2022-08-15,250.0,2022,8
2022-08-16,71275.0,2022,8
2022-08-17,84075.0,2022,8
2022-08-18,85825.0,2022,8
2022-08-19,91825.0,2022,8
2022-08-22,69330.0,2022,8
2022-08-23,86925.0,2022,8
2022-08-24,102175.0,2022,8
2022-08-25,103975.0,2022,8
2022-08-26,100625.0,2022,8
2022-08-29,73725.0,2022,8
2022-08-30,84075.0,2022,8
2022-08-31,84675.0,2022,8
2022-09-01,76660.5,2022,9
2022-09-02,80010.5,2022,9
2022-09-05,67760.5,2022,9
2022-09-06,73110.5,2022,9
2022-09-07,73110.5,2022,9
2022-09-08,77460.5,2022,9
2022-09-09,73010.5,2022,9
2022-09-12,69010.5,2022,9
2022-09-13,75510.5,2022,9
2022-09-14,74660.5,2022,9
2022-09-15,80810.5,2022,9
2022-09-16,75210.5,2022,9
2022-09-19,76070.5,2022,9
2022-09-20,83460.5,2022,9
2022-09-21,80560.5,2022,9
2022-09-22,79860.5,2022,9
2022-09-23,80460.5,2022,9
2022-09-26,77910.5,2022,9
2022-09-27,90610.5,2022,9
2022-09-28,88160.5,2022,9
2022-09-29,81310.5,2022,9
2022-09-30,86660.5,2022,9
2022-10-03,57132.0,2022,10
2022-10-04,76300.0,2022,10
2022-10-05,71250.0,2022,10
2022-10-06,67600.0,2022,10
2022-10-07,69700.0,2022,10
2022-10-10,72950.0,2022,10
2022-10-11,82050.0,2022,10
2022-10-12,79550.0,2022,10
2022-10-13,79600.0,2022,10
2022-10-14,82300.0,2022,10
2022-10-17,73050.0,2022,10
2022-10-18,81050.0,2022,10
2022-10-19,85800.0,2022,10
2022-10-20,84950.0,2022,10
2022-10-21,88250.0,2022,10
2022-10-24,75850.0,2022,10
2022-10-25,86900.0,2022,10
2022-10-26,86300.0,2022,10
2022-10-27,81650.0,2022,10
2022-10-28,80100.0,2022,10
2022-10-31,32700.0,2022,10
2022-11-01,0.0,2022,11
2022-11-02,47499.0,2022,11
2022-11-03,64274.0,2022,11
2022-11-04,64224.0,2022,11
2022-11-07,54049.0,2022,11
2022-11-08,58724.0,2022,11
2022-11-09,63274.0,2022,11
2022-11-10,67924.0,2022,11
2022-11-11,475.0,2022,11
2022-11-14,62499.0,2022,11
2022-11-15,74074.0,2022,11
2022-11-16,83174.0,2022,11
2022-11-17,91374.0,2022,11
2022-11-18,94824.0,2022,11
2022-11-21,97149.0,2022,11
2022-11-22,98224.0,2022,11
2022-11-23,110974.0,2022,11
2022-11-24,119724.0,2022,11
2022-11-25,114724.0,2022,11
2022-11-28,100974.0,2022,11
2022-11-29,112774.0,2022,11
2022-11-30,107474.0,2022,11
2022-12-01,94700.0,2022,12
2022-12-02,101500.0,2022,12
2022-12-05,89700.0,2022,12
2022-12-06,101400.0,2022,12
2022-12-07,102300.0,2022,12
2022-12-08,96500.0,2022,12
2022-12-09,97150.0,2022,12
2022-12-12,102400.0,2022,12
2022-12-13,112400.0,2022,12
2022-12-14,117850.0,2022,12
2022-12-15,118450.0,2022,12
2022-12-16,121900.0,2022,12
2022-12-19,109800.0,2022,12
2022-12-20,120300.0,2022,12
2022-12-21,103900.0,2022,12
2022-12-22,99800.0,2022,12
2022-12-23,67000.0,2022,12
2022-12-26,0.0,2022,12
2022-12-27,12850.0,2022,12
2022-12-28,29050.0,2022,12
2022-12-29,27800.0,2022,12
2022-12-30,3045.0,2022,12
2023-01-02,41588.0,2023,1
2023-01-03,32029.0,2023,1
2023-01-04,54735.0,2023,1
2023-01-05,67756.0,2023,1
2023-01-06,350.0,2023,1
2023-01-09,57032.0,2023,1
2023-01-10,78485.0,2023,1
2023-01-11,83585.0,2023,1
2023-01-12,74485.0,2023,1
2023-01-13,81935.0,2023,1
2023-01-16,61777.0,2023,1
2023-01-17,90485.0,2023,1
2023-01-18,91985.0,2023,1
2023-01-19,98335.0,2023,1
2023-01-20,95585.0,2023,1
2023-01-23,89385.0,2023,1
2023-01-24,98335.0,2023,1
2023-01-25,105085.0,2023,1
2023-01-26,106435.0,2023,1
2023-01-27,105835.0,2023,1
2023-01-30,93385.0,2023,1
2023-01-31,98485.0,2023,1
2023-02-01,90825.0,2023,2
2023-02-02,89975.0,2023,2
2023-02-03,91125.0,2023,2
2023-02-06,93875.0,2023,2
2023-02-07,106725.0,2023,2
2023-02-08,104275.0,2023,2
2023-02-09,101425.0,2023,2
2023-02-10,92925.0,2023,2
2023-02-13,66175.0,2023,2
2023-02-14,68575.0,2023,2
2023-02-15,64925.0,2023,2
2023-02-16,66325.0,2023,2
