month_period,morning_ramp_0408_weekday_q25,morning_ramp_0408_weekday_median,morning_ramp_0408_weekday_q75,evening_minus_midday_weekday_q25,evening_minus_midday_weekday_median,evening_minus_midday_weekday_q75,peak_hour_weekday_q25,peak_hour_weekday_median,peak_hour_weekday_q75,morning_ramp_0408_weekend_q25,morning_ramp_0408_weekend_median,morning_ramp_0408_weekend_q75,evening_minus_midday_weekend_q25,evening_minus_midday_weekend_median,evening_minus_midday_weekend_q75,peak_hour_weekend_q25,peak_hour_weekend_median,peak_hour_weekend_q75,month_start,year,month_num
2022-01,4950.0,5050.0,5300.0,175.0,275.0,500.0,12.0,15.0,15.0,2750.0,3225.0,3562.5,646.875,993.75,1309.375,15.0,16.0,16.75,2022-01-01,2022,1
2022-02,4437.5,4850.0,5225.0,284.375,475.0,712.5,12.0,12.0,16.0,2375.0,3374.0,3462.5,895.0625,1081.25,2059.375,16.75,17.0,17.0,2022-02-01,2022,2
2022-03,3425.0,3700.0,4150.0,900.0,1375.0,1587.5,17.0,17.0,17.0,1937.5,2700.0,3212.5,1437.5,1643.75,2603.125,17.0,17.0,17.0,2022-03-01,2022,3
2022-04,1650.0,1850.0,2150.0,437.5,575.0,975.0,11.0,17.0,18.0,2580.0,2950.0,3050.0,187.5,1125.0,1775.0,8.0,9.0,18.0,2022-04-01,2022,4
2022-05,1275.25,1525.0,1825.0,146.875,562.5,768.75,11.0,18.0,18.0,2300.0,2650.0,3100.0,225.0,637.5,1625.0,8.0,18.0,18.0,2022-05-01,2022,5
2022-06,1800.0,2171.5,2637.5,-556.25,-318.75,-53.125,10.0,11.0,11.0,3075.0,3100.0,3312.5,-296.875,350.0,1009.375,8.0,14.0,19.0,2022-06-01,2022,6
2022-07,2800.0,2950.0,3382.0,-812.5,-650.0,-625.0,10.0,11.0,11.0,2912.5,3000.0,3087.5,-637.5,143.75,796.875,8.25,14.5,19.0,2022-07-01,2022,7
2022-08,3050.0,3393.0,3525.0,-468.75,-425.0,-206.25,10.0,11.0,11.0,2975.0,3100.0,3262.5,-137.5,443.75,1150.0,8.75,13.5,18.0,2022-08-01,2022,8
2022-09,1800.0,1925.0,2250.0,740.625,862.5,1006.25,17.0,17.0,17.0,3100.0,3275.0,3362.5,737.75,1262.5,1737.5,8.0,13.5,17.0,2022-09-01,2022,9
2022-10,1150.0,1350.0,1600.0,1200.0,1375.0,1487.5,16.0,16.0,17.0,2650.0,2800.0,2975.0,946.875,1512.5,1868.75,16.0,16.0,16.0,2022-10-01,2022,10
2022-11,4600.0,4875.0,5037.5,343.75,493.75,1037.5,15.0,15.0,15.0,3012.5,3700.0,4150.0,525.75,768.75,956.25,15.0,15.0,16.0,2022-11-01,2022,11
2022-12,5100.0,5400.0,5500.0,-203.125,12.5,356.25,12.0,12.0,15.0,3200.0,3900.0,4050.0,-300.0,362.5,712.5,12.0,15.0,17.0,2022-12-01,2022,12
2023-01,4950.0,5225.0,5913.75,137.5,437.5,559.375,12.0,13.5,15.0,2800.0,3350.0,3950.0,537.5,652.75,1062.5,15.0,15.0,18.0,2023-01-01,2023,1
2023-02,4787.5,5150.0,5400.0,175.0,450.0,653.125,12.0,12.0,16.0,3187.5,3725.0,4325.0,209.375,725.0,1137.5,10.0,14.5,17.0,2023-02-01,2023,2
2023-03,4250.0,4700.0,4875.0,500.0,700.0,875.0,11.5,17.0,17.0,3128.75,3425.0,3687.5,762.75,1193.75,1538.75,15.5,17.0,17.0,2023-03-01,2023,3
