year,hour,q25,median,q75
2022,0,15750.0,16350.0,17750.0
2022,1,15750.0,16300.0,17562.5
2022,2,15893.25,16400.0,17850.0
2022,3,16750.0,17425.0,18650.0
2022,4,19250.0,20000.0,20612.5
2022,5,21200.0,21850.0,22662.5
2022,6,21900.0,22600.0,23762.5
2022,7,22000.0,22775.0,24212.5
2022,8,22050.0,22737.5,24250.0
2022,9,22150.0,22800.0,24200.0
2022,10,22250.0,22950.0,24262.5
2022,11,22300.0,23000.0,24400.0
2022,12,21900.0,22700.0,24500.0
2022,13,21900.0,22600.0,24200.0
2022,14,21800.0,22600.0,24100.0
2022,15,21700.0,22725.0,24350.0
2022,16,21750.0,23000.0,25000.0
2022,17,22000.0,23275.0,24850.0
2022,18,22171.0,23100.0,24762.5
2022,19,21587.5,22325.0,24212.5
2022,20,20000.0,20750.0,23012.5
2022,21,18650.0,19400.0,21312.5
2022,22,17200.0,17764.0,20062.5
2022,23,16437.5,17025.0,18708.0
2023,0,14699.5,15427.0,17100.0
2023,1,14647.25,15395.5,16730.5
2023,2,14797.25,15750.0,16947.0
2023,3,15945.75,16841.5,17801.0
2023,4,18600.0,19358.5,19959.25
2023,5,20387.5,21200.0,22281.25
2023,6,21087.5,21831.0,23450.0
2023,7,21100.0,21950.0,24138.75
2023,8,20894.75,21849.0,24195.5
2023,9,20874.25,21875.5,23950.0
2023,10,20937.75,22000.0,24000.0
2023,11,21022.0,22050.0,24110.75
2023,12,20840.0,21758.5,24207.25
2023,13,20853.75,21709.5,23709.5
2023,14,20951.5,21666.0,23512.5
2023,15,20900.0,21739.5,23728.25
2023,16,20900.0,22101.0,24378.25
2023,17,21100.0,22689.5,24200.0
2023,18,21157.5,22472.0,24085.0
2023,19,20652.25,21420.5,23600.0
2023,20,18984.25,19554.0,22303.5
2023,21,17550.0,18150.0,20500.0
2023,22,16139.5,16707.0,19205.25
2023,23,15449.0,16021.5,17962.5
2024,0,15285.25,15951.0,17057.75
2024,1,15277.5,15778.0,16752.5
2024,2,15468.25,16122.5,16965.25
2024,3,16358.25,16996.0,17693.0
2024,4,18669.0,19181.0,19783.25
2024,5,20636.75,21363.5,22247.25
2024,6,21000.75,22374.5,23212.25
2024,7,20889.5,22731.5,23834.25
2024,8,20440.0,22614.5,23722.25
2024,9,20571.75,22096.5,23570.75
2024,10,20570.75,21934.5,23771.75
2024,11,20583.25,21999.0,23911.0
2024,12,20405.0,22042.0,24123.0
2024,13,20505.5,21784.0,23474.0
2024,14,20700.25,21854.5,23352.75
2024,15,20801.75,22116.0,23735.5
2024,16,21206.75,23056.5,24028.5
2024,17,21596.25,23197.5,24038.75
2024,18,21599.75,23145.5,23984.0
2024,19,21204.5,22455.5,23543.5
2024,20,19381.5,21125.0,22215.0
2024,21,17874.5,19400.5,20427.5
2024,22,16529.5,18098.5,19189.75
2024,23,15819.5,16901.5,17772.75
