date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2022-01-03,0.0,0.0,0.0,0.0,850.0,3375.0,4375.0,4625.0,4100.0,4050.0,3825.0,3875.0,4050.0,3575.0,3750.0,3100.0,2925.0,2350.0,2150.0,2000.0,1650.0,900.0,650.0,625.0
2022-01-04,275.0,400.0,625.0,1100.0,2300.0,4275.0,5075.0,5225.0,4800.0,4650.0,4525.0,4425.0,4550.0,4175.0,4150.0,3400.0,3225.0,2750.0,2550.0,2250.0,1950.0,1250.0,1000.0,625.0
2022-01-05,325.0,350.0,725.0,1050.0,2300.0,4525.0,5175.0,5375.0,4700.0,4500.0,4325.0,4425.0,4500.0,4275.0,4350.0,3550.0,3475.0,3100.0,2950.0,2800.0,2250.0,1450.0,1350.0,875.0
2022-01-06,275.0,150.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
2022-01-07,0.0,0.0,0.0,86.0,865.0,2637.0,3138.0,3075.0,2749.0,2365.0,1914.0,1443.0,1575.0,2277.0,2310.0,1912.0,1659.0,1229.0,967.0,1520.0,979.0,792.0,542.0,1225.0
2022-01-10,0.0,0.0,175.0,750.0,2400.0,5125.0,6225.0,6125.0,5550.0,5150.0,4975.0,4875.0,5050.0,4575.0,4750.0,4350.0,4275.0,3850.0,3700.0,3550.0,3300.0,2500.0,2300.0,2225.0
2022-01-11,1875.0,2050.0,2225.0,2700.0,4000.0,6675.0,7225.0,6975.0,6200.0,5750.0,5525.0,5475.0,5600.0,5125.0,5200.0,4850.0,4775.0,4350.0,4300.0,4050.0,3600.0,2750.0,2600.0,2575.0
2022-01-12,2275.0,2450.0,2675.0,3200.0,4500.0,6875.0,7525.0,7275.0,6500.0,6150.0,5925.0,5875.0,6000.0,5625.0,5500.0,5150.0,5075.0,4650.0,4600.0,4250.0,3800.0,2950.0,2800.0,2325.0
2022-01-13,1975.0,2150.0,2325.0,2600.0,3900.0,6575.0,7125.0,6875.0,6100.0,5650.0,5425.0,5675.0,5800.0,5325.0,5400.0,4650.0,4575.0,4150.0,4100.0,3850.0,3400.0,2550.0,2400.0,2025.0
2022-01-14,1675.0,1850.0,2025.0,2400.0,3700.0,6375.0,6925.0,6575.0,5800.0,5550.0,5325.0,5375.0,5500.0,5225.0,5300.0,4550.0,4475.0,3950.0,3900.0,3650.0,3200.0,2350.0,2200.0,1725.0
